h3Index,avgAcceleration
8d1f1eb830a207f,
8d1f1eb830a233f,
8d1f1eb830a237f,
8d1f1eb830a3dbf,
8d1f1eb830a3cbf,
8d1f1eb830a3cff,
8d1f1eb830a3c7f,
8d1f1eb830a313f,
8d1f1eb830a317f,
8d1f1eb830a307f,
8d1f1eb830a333f,
8d1f1eb830a337f,
8d1f1eb830aecbf,
8d1f1eb830aec3f,
8d1f1eb830aecff,.0
8d1f1eb830aec7f,.1
8d1f1eb830ae13f,.2
8d1f1eb830ae17f,.3
8d1f1eb830aeabf,.4
8d1f1eb830aeaff,.5
8d1f1eb830a8dbf,.6
8d1f1eb830a8c3f,.7
8d1f1eb830a8c7f,.8
8d1f1eb830a813f,.9
8d1f1eb830a817f,1
8d1f1eb830a8bbf,
8d1f1eb830a8abf,
8d1f1eb830a8a3f,
8d1f1eb830a8aff,
8d1f1eb830a8a7f,
8d1f1eb830a9d3f,
8d1f1eb830a9d7f,
8d1f1eb830a98bf,
8d1f1eb830a98ff,
8d1f1eb830a9bbf,
8d1f1eb830a9a3f,
8d1f1eb830a9a7f,
8d1f1eb830f4d3f,
8d1f1eb830f4d7f,
8d1f1eb830f48bf,
8d1f1eb830f48ff,
8d1f1eb830f4bbf,
8d1f1eb830f4a3f,
8d1f1eb830f4a7f,
8d1f1eb830f5d3f,
8d1f1eb830f5d7f,
8d1f1eb830f5c7f,
8d1f1eb830f513f,
8d1f1eb830f58ff,
8d1f1eb830f517f,
8d1f1eb830f5abf,
8d1f1eb830f5aff,
8d1f1eb830e2dbf,
8d1f1eb830e2c3f,
8d1f1eb830e2c7f,
8d1f1eb830e213f,
8d1f1eb830e217f,
8d1f1eb830e2abf,
8d1f1eb830e2aff,
8d1f1eb830e3dbf,
8d1f1eb830e3c3f,
8d1f1eb830e3c7f,
8d1f1eb830e313f,
8d1f1eb830e317f,
8d1f1eb830e3abf,
8d1f1eb830e3aff,
8d1f1eb830eedbf,
8d1f1eb830eecbf,
8d1f1eb830eecff,
8d1f1eb830eec7f,
8d1f1eb830ee13f,
8d1f1eb830ee03f,
8d1f1eb830ee07f,
8d1f1eb830ee33f,
8d1f1eb830ee37f,
8d1f1eb830e8cbf,
8d1f1eb830e8cff,
8d1f1eb830e81bf,
8d1f1eb830e803f,
8d1f1eb830e807f,
8d1f1eb830e833f,
8d1f1eb830e837f,
8d1f1eb830e827f,
8d1f1eb830e953f,
8d1f1eb830e957f,
8d1f1eb830e90bf,
8d1f1eb830e90ff,
8d1f1eb830e93bf,
8d1f1eb830e923f,
8d1f1eb830e927f,
8d1f1eb833b453f,
8d1f1eb833b457f,
8d1f1eb833b40bf,
8d1f1eb833b40ff,
8d1f1eb833b43bf,
8d1f1eb833b42bf,
