type,date,time,latitude,longitude,alt,speed,acceleration,Axmax,Aymax,Azmax,name,desc
T,20200930,00000100,52.157696,11.600065,0.00,5.47,2.04,1.40,1.49,0.33,20200930 Olvenstedter Graseweg ab Holzweg und Hundisburger,Radweg stadteinwärts
T,20200930,00000200,52.157702,11.600154,0.00,5.35,1.14,-1.02,1.11,-0.35,,
T,20200930,00000300,52.157707,11.600244,0.00,5.30,1.14,0.85,1.04,0.35,,
T,20200930,00000400,52.157713,11.600333,0.00,5.09,1.18,-0.84,-0.89,-0.34,,
T,20200930,00000500,52.157721,11.600404,0.00,4.41,1.49,1.33,-1.12,-0.41,,
T,20200930,00000600,52.157732,11.600475,0.00,4.58,0.91,-0.68,0.74,0.29,,
T,20200930,00000700,52.157741,11.600567,0.00,5.24,0.88,-0.71,0.78,0.38,,
T,20200930,00000800,52.157750,11.600641,0.00,4.44,1.15,-0.49,-1.10,0.25,,
T,20200930,00000900,52.157752,11.600708,6.00,4.14,1.21,-0.94,-0.99,0.38,,
T,20200930,00001000,52.157757,11.600780,6.00,4.68,1.05,0.83,-0.93,-0.32,,
T,20200930,00001100,52.157749,11.600831,6.00,2.94,1.05,-0.74,-0.87,-0.33,,
T,20200930,00001200,52.157755,11.600904,6.00,4.15,0.99,0.70,0.91,-0.29,,
T,20200930,00001300,52.157765,11.600992,6.00,4.72,1.38,-0.90,-1.04,-0.34,,
T,20200930,00001400,52.157772,11.601071,6.00,4.70,0.82,-0.76,-0.78,0.30,,
T,20200930,00001500,52.157783,11.601139,6.00,4.20,1.05,-0.90,-0.77,-0.34,,
T,20200930,00001600,52.157788,11.601200,6.00,3.61,1.33,0.96,-0.90,1.03,,
T,20200930,00001700,52.157792,11.601270,6.00,3.68,1.62,-1.01,-1.26,0.37,,
T,20200930,00001800,52.157804,11.601359,6.00,4.40,1.31,-1.10,0.87,0.34,,
T,20200930,00001900,52.157818,11.601448,6.00,4.50,1.21,-0.94,-0.81,-0.30,,
T,20200930,00002000,52.157820,11.601530,6.00,4.29,1.06,-0.67,-0.82,0.28,,
T,20200930,00002100,52.157830,11.601606,6.00,4.67,0.96,0.76,0.72,-0.23,,
T,20200930,00002200,52.157833,11.601673,6.00,3.46,1.34,0.93,-0.98,0.22,,
T,20200930,00002300,52.157844,11.601754,6.00,4.15,0.74,-0.49,0.59,0.20,,
T,20200930,00002400,52.157853,11.601826,6.00,3.91,0.71,-0.55,0.57,0.16,,
T,20200930,00002500,52.157862,11.601892,6.00,3.77,0.67,0.41,0.64,0.13,,
T,20200930,00002600,52.157870,11.601952,6.00,3.11,0.86,0.61,-0.60,0.22,,
T,20200930,00002700,52.157877,11.602003,6.00,2.83,0.74,-0.34,-0.64,0.30,,
T,20200930,00002800,52.157885,11.602055,6.00,2.35,0.39,-0.24,-0.36,0.15,,
T,20200930,00002900,52.157893,11.602100,6.00,1.95,0.51,0.33,0.37,-0.31,,
T,20200930,00003000,52.157898,11.602130,6.00,1.47,0.42,-0.23,0.37,-0.18,,
T,20200930,00003100,52.157902,11.602161,6.00,1.57,0.28,-0.20,0.26,-0.17,,
T,20200930,00003200,52.157906,11.602189,6.00,1.24,0.48,0.28,0.40,-0.37,,
T,20200930,00003300,52.157905,11.602212,6.00,1.04,0.37,0.11,0.19,0.37,,
T,20200930,00003400,52.157906,11.602231,6.00,1.03,0.30,0.15,0.24,0.28,,
T,20200930,00003500,52.157909,11.602251,6.00,0.89,0.25,0.09,0.19,0.21,,
T,20200930,00003600,52.157910,11.602271,6.00,0.45,0.08,0.03,-0.04,-0.08,,
T,20200930,00003700,52.157911,11.602285,6.00,0.06,0.07,0.02,-0.02,-0.07,,
T,20200930,00003800,52.157912,11.602297,6.00,0.07,0.13,0.03,-0.12,-0.05,,
T,20200930,00003900,52.157913,11.602308,6.00,0.04,0.05,0.03,-0.02,-0.04,,
T,20200930,00004000,52.157915,11.602316,6.00,0.06,0.04,0.02,-0.02,-0.04,,
T,20200930,00004100,52.157917,11.602322,6.00,0.05,0.04,0.02,-0.02,-0.04,,
T,20200930,00004200,52.157918,11.602329,6.00,0.02,0.04,0.02,-0.02,-0.04,,
T,20200930,00004300,52.157919,11.602334,6.00,0.04,0.04,0.02,-0.02,-0.03,,
T,20200930,00004400,52.157920,11.602338,6.00,0.03,0.04,0.02,-0.02,-0.04,,
T,20200930,00004500,52.157920,11.602341,6.00,0.04,0.04,0.02,-0.02,-0.04,,
T,20200930,00004600,52.157921,11.602346,6.00,0.02,0.05,0.02,-0.02,-0.05,,
T,20200930,00004700,52.157922,11.602349,6.00,0.05,0.04,0.02,-0.02,-0.04,,
T,20200930,00004800,52.157922,11.602351,6.00,0.01,0.04,0.02,-0.02,-0.04,,
T,20200930,00004900,52.157922,11.602353,6.00,0.03,0.05,0.02,-0.02,-0.05,,
T,20200930,00005000,52.157923,11.602355,6.00,0.01,0.04,0.02,-0.02,-0.04,,
T,20200930,00005100,52.157924,11.602356,6.00,0.04,0.04,0.02,-0.02,-0.04,,
T,20200930,00005200,52.157925,11.602357,6.00,0.01,0.04,0.02,-0.02,-0.04,,
T,20200930,00005300,52.157926,11.602358,6.00,0.04,0.05,0.02,-0.02,-0.04,,
T,20200930,00005400,52.157926,11.602358,6.00,0.01,0.04,0.02,-0.02,-0.04,,
T,20200930,00005500,52.157925,11.602358,6.00,0.06,0.04,0.02,-0.01,-0.04,,
T,20200930,00005600,52.157925,11.602358,6.00,0.02,0.04,0.02,-0.02,-0.04,,
T,20200930,00005700,52.157926,11.602358,6.00,0.02,0.04,0.02,-0.02,-0.04,,
T,20200930,00005800,52.157927,11.602357,6.00,0.01,0.04,0.03,-0.02,-0.04,,
T,20200930,00005900,52.157927,11.602358,6.00,0.01,0.45,-0.15,-0.41,-0.16,,
T,20200930,00010000,52.157929,11.602365,6.00,0.66,4.22,2.10,-3.87,-2.20,,
T,20200930,00010100,52.157932,11.602386,6.00,2.03,0.94,-0.62,-0.83,0.51,,
T,20200930,00010200,52.157936,11.602425,6.00,3.04,1.20,-0.74,-1.09,0.62,,
T,20200930,00010300,52.157940,11.602479,6.00,4.04,1.21,0.93,-0.95,-0.39,,
T,20200930,00010400,52.157948,11.602538,6.00,4.44,1.33,1.02,-1.14,0.40,,
T,20200930,00010500,52.157962,11.602603,6.00,5.08,1.88,-1.23,-1.49,0.35,,
T,20200930,00010600,52.157970,11.602674,6.00,5.20,10.82,6.97,8.01,-2.52,,
T,20200930,00010700,52.157981,11.602746,6.00,5.27,2.88,-1.93,-2.37,0.69,,
T,20200930,00010800,52.157990,11.602820,6.00,5.26,10.73,6.97,8.01,2.14,,
T,20200930,00010900,52.157998,11.602891,6.00,4.93,1.83,1.30,-1.47,0.36,,
T,20200930,00011000,52.158005,11.602972,6.00,5.57,11.10,-7.70,-7.99,1.62,,
T,20200930,00011100,52.158012,11.603051,6.00,5.37,5.74,3.19,4.76,-0.81,,
T,20200930,00011200,52.158017,11.603127,6.00,5.39,9.43,6.97,-7.62,1.90,,
T,20200930,00011300,52.158022,11.603206,6.00,5.61,6.30,4.55,4.34,0.80,,
T,20200930,00011400,52.158028,11.603286,6.00,5.54,6.91,4.58,5.17,-1.08,,
T,20200930,00011500,52.158034,11.603365,6.00,5.43,1.37,1.05,-1.16,0.33,,
T,20200930,00011600,52.158040,11.603446,6.00,5.51,1.11,0.71,0.94,-0.34,,
T,20200930,00011700,52.158044,11.603523,6.00,5.22,1.10,0.72,-0.95,-0.29,,
T,20200930,00011800,52.158049,11.603605,6.00,5.53,2.26,1.35,1.78,0.44,,
T,20200930,00011900,52.158054,11.603683,6.00,5.29,1.02,-0.78,0.77,0.24,,
T,20200930,00012000,52.158057,11.603763,6.00,5.45,1.35,-1.02,-1.04,-0.26,,
T,20200930,00012100,52.158064,11.603841,6.00,5.15,1.55,1.10,1.16,0.35,,
T,20200930,00012200,52.158064,11.603912,6.00,4.61,1.09,0.61,0.97,0.26,,
T,20200930,00012300,52.158063,11.603983,6.00,4.58,0.91,0.57,0.79,0.27,,
T,20200930,00012400,52.158055,11.604043,6.00,3.96,0.83,-0.77,0.81,0.38,,
T,20200930,00012500,52.158056,11.604105,6.00,4.24,1.10,0.72,1.07,-0.32,,
T,20200930,00012600,52.158063,11.604176,6.00,4.65,1.29,0.93,-0.93,0.34,,
T,20200930,00012700,52.158065,11.604249,6.00,4.53,1.04,0.73,-0.94,0.33,,
T,20200930,00012800,52.158063,11.604311,6.00,3.91,0.97,0.63,0.81,-0.26,,
T,20200930,00012900,52.158067,11.604389,6.00,5.06,1.24,0.76,-1.07,-0.33,,
T,20200930,00013000,52.158075,11.604470,6.00,4.85,0.96,0.74,0.78,0.28,,
T,20200930,00013100,52.158084,11.604554,6.00,5.00,1.36,1.01,1.07,-0.38,,
T,20200930,00013200,52.158094,11.604639,6.00,5.18,1.09,0.74,-0.96,0.32,,
T,20200930,00013300,52.158098,11.604719,6.00,5.01,1.02,-0.72,0.98,-0.29,,
T,20200930,00013400,52.158102,11.604802,6.00,5.28,1.10,-0.72,0.91,-0.35,,
T,20200930,00013500,52.158104,11.604884,6.00,5.00,1.06,-0.82,-0.78,0.44,,
T,20200930,00013600,52.158108,11.604960,6.00,4.65,1.01,-0.74,-0.99,0.35,,
T,20200930,00013700,52.158113,11.605040,6.00,5.22,1.00,0.76,-0.98,-0.31,,
T,20200930,00013800,52.158116,11.605114,6.00,4.66,1.85,1.55,1.11,0.39,,
T,20200930,00013900,52.158115,11.605191,6.00,4.88,0.98,0.67,-0.96,-0.28,,
T,20200930,00014000,52.158119,11.605273,6.00,5.15,1.02,-0.57,-0.92,0.29,,
T,20200930,00014100,52.158125,11.605356,6.00,5.03,1.05,0.72,-0.84,-0.33,,
T,20200930,00014200,52.158130,11.605440,6.00,5.29,0.86,0.59,-0.81,0.32,,
T,20200930,00014300,52.158135,11.605529,6.00,5.39,1.23,0.64,1.06,0.31,,
T,20200930,00014400,52.158143,11.605610,6.00,5.07,0.99,0.57,0.85,0.30,,
T,20200930,00014500,52.158147,11.605683,6.00,4.53,1.03,-0.68,0.95,0.30,,
T,20200930,00014600,52.158149,11.605762,6.00,5.13,0.83,-0.67,-0.83,-0.26,,
T,20200930,00014700,52.158154,11.605841,6.00,5.12,0.93,0.63,0.89,-0.41,,
T,20200930,00014800,52.158156,11.605927,6.00,5.50,0.99,0.71,-0.80,0.36,,
T,20200930,00014900,52.158159,11.606009,6.00,5.28,1.26,0.84,0.93,-0.34,,
T,20200930,00015000,52.158162,11.606089,6.00,5.20,1.45,-0.94,-1.27,0.36,,
T,20200930,00015100,52.158168,11.606168,6.00,4.96,1.06,-0.68,0.88,0.32,,
T,20200930,00015200,52.158171,11.606248,6.00,5.17,1.26,0.77,1.16,-0.32,,
T,20200930,00015300,52.158174,11.606329,6.00,5.32,1.64,1.19,1.37,-0.40,,
T,20200930,00015400,52.158176,11.606413,6.00,5.48,1.26,0.83,-1.21,-0.46,,
T,20200930,00015500,52.158179,11.606493,6.00,5.28,0.80,-0.61,-0.75,0.33,,
T,20200930,00015600,52.158180,11.606575,6.00,5.41,1.03,-0.78,0.84,0.29,,
T,20200930,00015700,52.158183,11.606655,6.00,5.34,1.04,0.76,0.82,0.27,,
T,20200930,00015800,52.158188,11.606744,6.00,5.51,1.37,0.99,1.01,0.33,,
T,20200930,00015900,52.158190,11.606826,6.00,5.42,3.24,2.01,-2.58,-0.74,,
T,20200930,00020000,52.158194,11.606911,6.00,5.67,7.92,5.46,6.40,1.06,,
T,20200930,00020100,52.158197,11.606993,6.00,5.29,1.20,-0.69,-1.03,0.38,,
T,20200930,00020200,52.158203,11.607073,6.00,5.57,1.00,0.85,0.98,-0.33,,
